Brand	Model	Variant	Price (INR)	Price (Lakhs)	Fuel Type	Transmission	Engine (cc)	Power (bhp)	Torque (Nm)	Mileage	Seating	Boot (L)	Ground Clearance (mm)	Year
Audi	A4	Premium	4625000	46.25	Petrol	Automatic	1984	207	320	15	5	460		2024
Audi	A4	Premium Plus	5117000	51.17	Petrol	Automatic	1984	207	320	15	5	460		2024
Audi	A4	Signature Edition	5400000	54.00	Petrol	Automatic	1984	207	320	15	5	460		2024
Audi	A4	Technology	5511000	55.11	Petrol	Automatic	1984	207	320	15	5	460		2024
Audi	A6	45 TFSI Premium Plus	6373999	63.74	Petrol	Automatic	1984	241	370	14.11	5	530	165	2024
Audi	A6	45 TFSI Technology	6989000	69.89	Petrol	Automatic	1984	241	370	14.11	5	530	165	2024
Audi	Q3	Premium	4307000	43.07	Petrol	Automatic	1984	188	320	10.14	5	460	170	2022
Audi	Q3	Premium Plus	4755000	47.55	Petrol	Automatic	1984	188	320	10.14	5	460	170	2022
Audi	Q3	Technology	5231000	52.31	Petrol	Automatic	1984	188	320	10.14	5	460	170	2022
Audi	Q3	Signature Line	5231000	52.31	Petrol	Automatic	1984	188	320	10.14	5	460	170	2022
Audi	Q3	Bold Edition	5298000	52.98	Petrol	Automatic	1984	188	320	10.14	5	460	170	2022
Audi	Q3 Sportback	Bold Edition	5298000	52.98	Petrol	Automatic	1984	188	320	10.14	5	380	200	2022
Audi	Q3 Sportback	40 TFSI Quattro	5355000	53.55	Petrol	Automatic	1984	188	320	10.14	5	380	200	2022
Audi	Q3 Sportback	Signature Line	5355000	53.55	Petrol	Automatic	1984	188	320	10.14	5	380	200	2022
Audi	Q5	Premium Plus	6474000	64.74	Petrol	Automatic	1984	246	370	13.47	5	520		2021
Audi	Q5	Bold Edition	6986000	69.86	Petrol	Automatic	1984	246	370	13.47	5	520		2021
Audi	Q5	Signature Line	6986000	69.86	Petrol	Automatic	1984	246	370	13.47	5	520		2021
Audi	Q5	Technology	6986000	69.86	Petrol	Automatic	1984	246	370	13.47	5	520		2021
Audi	Q7	Premium Plus	8613999	86.14	Petrol	Automatic	2995	335	500	11	7		178	2025
Audi	Q7	Bold Edition	9315000	93.15	Petrol	Automatic	2995	335	500	11	7		178	2025
Audi	Q7	Technology	9502999	95.03	Petrol	Automatic	2995	335	500	11	7		178	2025
Audi	Q7	Signature Edition	9503000	95.03	Petrol	Automatic	2995	335	500	11	7		178	2025
Audi	Q8	Quattro	11000000	110.00	Petrol	Automatic	2995	335	500	10	5	605	254	2024
Audi	RS Q8	Standard	23200000	232.00	Petrol	Automatic	3998	632	850	9	5		254	2024
Audi	e-tron GT	Quattro	17200000	172.00	Electric	Automatic	EV	523	630		5	405	165	2024
Audi	RS e-tron GT	Quattro	19500000	195.00	Electric	Automatic	EV	637	830		5	405	165	2024
Audi	S5 Sportback	3.0L TFSI	7357001	73.57	Petrol	Automatic	2994	349	500	7.6	5	480		2021
Audi	S5 Sportback	Platinum Edition	8050001	80.50	Petrol	Automatic	2994	349	500	7.6	5	480		2021
Audi	Q8 e-tron	50 Quattro	11473000	114.73	Electric	Automatic	EV	402	664		5	505		2023
Audi	Q8 e-tron	55 Quattro	12713000	127.13	Electric	Automatic	EV	402	664		5	505		2023
Audi	Q8 Sportback e-tron	50 Quattro	11923000	119.23	Electric	Automatic	EV	402	664		5	535		2023
Audi	Q8 Sportback e-tron	55 Quattro	13163000	131.63	Electric	Automatic	EV	402	664		5	535		2023
Bentley	Bentayga	V8	50032967	500.33	Petrol	Automatic	3956	542	770	7.6	4	484		2026
Bentley	Flying Spur	V8	55018177	550.18	Petrol	Automatic	3993	500	660	12.5	4	467	110	2026
Bentley	Continental GT	Speed	64596706	645.97	Petrol	Automatic	5950	650	900	12.9	4	358	152	2026
Bmw	2 Series Gran Coupe	218 M Sport	4530000	45.30	Petrol	7-Speed DCT (Automatic)	1499	154	230		5	430	128	2024
Bmw	2 Series Gran Coupe	218 M Sport Pro	4720000	47.20	Petrol	7-Speed DCT (Automatic)	1499	154	230		5	430	128	2024
Bmw	3 Series	M340i 50 Jahre Edition	7285000	72.85	Petrol	8-Speed Steptronic Automatic	2998	369	500		5	480	130	2024
Bmw	3 Series	M340i xDrive	7395000	73.95	Petrol	8-Speed Steptronic Automatic	2998	369	500		5	480	130	2024
Bmw	3 Series LWB	330Li M Sport	6050000	60.50	Petrol	8-Speed Automatic	1998	255	400		5	480	130	2024
Bmw	3 Series LWB	330Li M Sport 50 Jahre Edition	6060000	60.60	Petrol	8-Speed Automatic	1998	255	400		5	480	130	2024
Bmw	X1	sDrive18i xLine	4190000	41.90	Petrol	Automatic	1499	136	230	15.7	5	540	175	2024
Bmw	X1	sDrive18i M Sport	4390000	43.90	Petrol	Automatic	1499	136	230	15.7	5	540	175	2024
Bmw	X1	sDrive20d M Sport	4990000	49.90	Diesel	Automatic	1995	150	360	20.3	5	540	175	2024
Bmw	X3	xDrive20d xLine	6690000	66.90	Diesel	Automatic	1995	190	400	18.5	5	550	204	2024
Bmw	X3	xDrive20d M Sport	7290000	72.90	Diesel	Automatic	1995	190	400	18.5	5	550	204	2024
Bmw	X5	xDrive30d xLine	9390000	93.90	Diesel	Automatic	2993	286	650	14.48	5	645	214	2024
Bmw	X5	xDrive30d M Sport	10490000	104.90	Diesel	Automatic	2993	286	650	14.48	5	645	214	2024
Bmw	X7	xDrive40i M Sport	13590000	135.90	Petrol	Automatic	2998	381	520	11.2	7	750	193	2024
Bmw	5 Series	520d M Sport	7190000	71.90	Diesel	Automatic	1995	190	400	20.37	5	520	142	2024
Bmw	5 Series	530d M Sport	8390000	83.90	Diesel	Automatic	2993	286	650	16.8	5	520	142	2024
Bmw	7 Series	740d M Sport	16900000	169.00	Diesel	Automatic	2993	340	700	14.4	5	540	145	2024
Bmw	i4	eDrive40 M Sport	7290000	72.90	Electric	Automatic	EV	340	430	590 km	5	470	144	2024
Bmw	iX	xDrive40	8690000	86.90	Electric	Automatic	EV	326	630	425 km	5	500	200	2024
Byd	Sealion 7	Premium	4890000	48.90	Electric	Automatic	EV	308	380	567	5	500		2025
Byd	Sealion 7	Performance	5490000	54.90	Electric	Automatic	EV	523	690	542	5	500	163	2025
Byd	Seal	Dynamic	4099000	40.99	Electric	Automatic	EV	204	310	510 km	5	400	150	2024
Byd	Seal	Premium	5399000	53.99	Electric	Automatic	EV	313	360	580 km	5	400	150	2024
Byd	Atto 3	Dynamic	2499000	24.99	Electric	Automatic	EV	204	310	521 km	5	440	175	2024
Byd	Atto 3	Superior	3399000	33.99	Electric	Automatic	EV	204	310	521 km	5	440	175	2024
Byd	e6	GL	2960000	29.60	Electric	Automatic	EV	95	180	415 km	5	580	175	2024
Citroen	C3	Live	495000	4.95	Petrol	Manual	1198	80	115	19.3	5	315	180	2022
Citroen	C3	Live CNG	573000	5.73	CNG	Manual	1198	72	95	28.1	5	315	180	2024
Citroen	C3	Feel	585000	5.85	Petrol	Manual	1198	80	115	19.3	5	315	180	2022
Citroen	C3	Feel Optional	680000	6.80	Petrol	Manual	1198	80	115	19.3	5	315	180	2022
Citroen	C3	Feel Optional CNG	758000	7.58	CNG	Manual	1198	72	95	28.1	5	315	180	2024
Citroen	C3	Feel CNG	845000	8.45	CNG	Manual	1198	72	95	28.1	5	315	180	2024
Citroen	C3	X Shine	763000	7.63	Petrol	Manual	1198	80	115	19.3	5	315	180	2024
Citroen	C3	X Shine CNG	816000	8.16	CNG	Manual	1198	72	95	28.1	5	315	180	2024
Citroen	C3	Shine Dark Edition	838300	8.38	Petrol	Manual	1198	80	115	19.3	5	315	180	2024
Citroen	C3	Shine Dark Edition CNG	931300	9.31	CNG	Manual	1198	72	95	28.1	5	315	180	2024
Citroen	C3	X Shine Turbo	874000	8.74	Petrol	Manual	1199	108	190	19.3	5	315	180	2024
Citroen	C3	X Shine Turbo AT	945000	9.45	Petrol	Automatic	1199	108	205	19.3	5	315	180	2024
Citroen	C3	Shine Turbo Dark Edition	958300	9.58	Petrol	Manual	1199	108	190	19.3	5	315	180	2024
Citroen	C3	Shine Turbo Dark Edition AT	1019300	10.19	Petrol	Automatic	1199	108	205	19.3	5	315	180	2024
Citroen	C3	Turbo Shine DT AT	1014800	10.15	Petrol	Automatic	1199	108	205	19.3	5	315	180	2024
Citroen	C3	Turbo Shine Sport Edition AT	1020801	10.21	Petrol	Automatic	1199	108	205	19.3	5	315	180	2024
Citroen	C3 Aircross	Plus	989000	9.89	Petrol	Manual	1199	82	115	18.64	5	460	190	2024
Citroen	C3 Aircross	Max	1049000	10.49	Petrol	Manual	1199	82	115	18.64	7	460	190	2024
Citroen	C3 Aircross	Max Turbo	1189000	11.89	Petrol	Manual	1199	110	190	18.64	7	460	190	2024
Citroen	Basalt	Plus	799000	7.99	Petrol	Manual	1199	82	115	18.7	5	470	180	2024
Citroen	Basalt	Max	889000	8.89	Petrol	Manual	1199	82	115	18.7	5	470	180	2024
Citroen	Basalt	Max Turbo AT	1069000	10.69	Petrol	Automatic	1199	110	190	18.7	5	470	180	2024
