make,model,brandSlug,modelSlug,sourceUrl,exteriorCount,interiorCount,featureCount,colorCount,totalCount,exteriorFiles,interiorFiles,featureFiles,colorNames,colorFiles
audi,A4,audi,a4,https://www.cardekho.com/audi/a4,6,8,0,6,20,/data/brand-model-images/4w-galleries/audi/a4/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/a4/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/a4/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/a4/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/a4/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/a4/exterior/06.avif,/data/brand-model-images/4w-galleries/audi/a4/interior/01.avif | /data/brand-model-images/4w-galleries/audi/a4/interior/02.avif | /data/brand-model-images/4w-galleries/audi/a4/interior/03.avif | /data/brand-model-images/4w-galleries/audi/a4/interior/04.avif | /data/brand-model-images/4w-galleries/audi/a4/interior/05.avif | /data/brand-model-images/4w-galleries/audi/a4/interior/06.avif | /data/brand-model-images/4w-galleries/audi/a4/interior/07.avif | /data/brand-model-images/4w-galleries/audi/a4/interior/08.avif,,Progressive-Red-Metallic | Manhattan Grey Metallic | Navvara Blue Metallic | Mythos Black Metallic | Glacier White Metallic | Navarra Blue Metallic,/data/brand-model-images/4w-galleries/audi/a4/colors/progressive-red-metallic.avif | /data/brand-model-images/4w-galleries/audi/a4/colors/manhattan-grey-metallic.avif | /data/brand-model-images/4w-galleries/audi/a4/colors/navvara-blue-metallic.avif | /data/brand-model-images/4w-galleries/audi/a4/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/a4/colors/glacier-white-metallic.avif | /data/brand-model-images/4w-galleries/audi/a4/colors/navarra-blue-metallic.avif
audi,A6,Audi,Audi_A6,https://www.cardekho.com/carmodels/Audi/Audi_A6,2,0,0,0,2,/data/brand-model-images/4w-galleries/Audi/Audi_A6/exterior/01.avif | /data/brand-model-images/4w-galleries/Audi/Audi_A6/exterior/02.avif,,,,
audi,A8 L,audi,a8-l,https://www.cardekho.com/audi/a8-l,6,8,0,7,21,/data/brand-model-images/4w-galleries/audi/a8-l/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/a8-l/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/a8-l/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/a8-l/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/a8-l/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/a8-l/exterior/06.avif,/data/brand-model-images/4w-galleries/audi/a8-l/interior/01.avif | /data/brand-model-images/4w-galleries/audi/a8-l/interior/02.avif | /data/brand-model-images/4w-galleries/audi/a8-l/interior/03.avif | /data/brand-model-images/4w-galleries/audi/a8-l/interior/04.avif | /data/brand-model-images/4w-galleries/audi/a8-l/interior/05.avif | /data/brand-model-images/4w-galleries/audi/a8-l/interior/06.avif | /data/brand-model-images/4w-galleries/audi/a8-l/interior/07.avif | /data/brand-model-images/4w-galleries/audi/a8-l/interior/08.avif,,Firmament Blue Metallic | Manhattan Grey Metallic | Mythos Black Metallic | Floret Silver Metallic | Terra Gray Metallic | Glacier White Metallic | Myth Black Metallic,/data/brand-model-images/4w-galleries/audi/a8-l/colors/firmament-blue-metallic.avif | /data/brand-model-images/4w-galleries/audi/a8-l/colors/manhattan-grey-metallic.avif | /data/brand-model-images/4w-galleries/audi/a8-l/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/a8-l/colors/floret-silver-metallic.avif | /data/brand-model-images/4w-galleries/audi/a8-l/colors/terra-gray-metallic.avif | /data/brand-model-images/4w-galleries/audi/a8-l/colors/glacier-white-metallic.avif | /data/brand-model-images/4w-galleries/audi/a8-l/colors/myth-black-metallic.avif
audi,e-tron GT,audi,e-tron-gt,https://www.cardekho.com/audi/e-tron-gt,8,8,0,7,23,/data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/06.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/07.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/exterior/08.avif,/data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/01.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/02.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/03.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/04.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/05.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/06.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/07.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/interior/08.avif,,Suzuka Grey Metallic | Tango Red Metallic | Daytona Grey Pearl Effect | Kemora Gray Metallic | Mythos Black Metallic | Floret Silver Metallic | Ascari Blue Metallic,/data/brand-model-images/4w-galleries/audi/e-tron-gt/colors/suzuka-grey-metallic.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/colors/tango-red-metallic.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/colors/daytona-grey-pearl-effect.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/colors/kemora-gray-metallic.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/colors/floret-silver-metallic.avif | /data/brand-model-images/4w-galleries/audi/e-tron-gt/colors/ascari-blue-metallic.avif
audi,Q3,audi,q3,https://www.cardekho.com/audi/q3,8,8,0,5,21,/data/brand-model-images/4w-galleries/audi/q3/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/q3/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/q3/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/q3/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/q3/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/q3/exterior/06.avif | /data/brand-model-images/4w-galleries/audi/q3/exterior/07.avif | /data/brand-model-images/4w-galleries/audi/q3/exterior/08.avif,/data/brand-model-images/4w-galleries/audi/q3/interior/01.avif | /data/brand-model-images/4w-galleries/audi/q3/interior/02.avif | /data/brand-model-images/4w-galleries/audi/q3/interior/03.avif | /data/brand-model-images/4w-galleries/audi/q3/interior/04.avif | /data/brand-model-images/4w-galleries/audi/q3/interior/05.avif | /data/brand-model-images/4w-galleries/audi/q3/interior/06.avif | /data/brand-model-images/4w-galleries/audi/q3/interior/07.avif | /data/brand-model-images/4w-galleries/audi/q3/interior/08.avif,,Nano Grey Metallic | Mythos Black Metallic | Pulse Orange Solid | Glacier White Metallic | Navarra Blue Metallic,/data/brand-model-images/4w-galleries/audi/q3/colors/nano-grey-metallic.avif | /data/brand-model-images/4w-galleries/audi/q3/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/q3/colors/pulse-orange-solid.avif | /data/brand-model-images/4w-galleries/audi/q3/colors/glacier-white-metallic.avif | /data/brand-model-images/4w-galleries/audi/q3/colors/navarra-blue-metallic.avif
audi,Q3 Sportback,audi,q3-sportback,https://www.cardekho.com/audi/q3-sportback,6,8,0,4,18,/data/brand-model-images/4w-galleries/audi/q3-sportback/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/exterior/06.avif,/data/brand-model-images/4w-galleries/audi/q3-sportback/interior/01.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/interior/02.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/interior/03.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/interior/04.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/interior/05.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/interior/06.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/interior/07.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/interior/08.avif,,Progressive-Red-Metallic | Mythos Black Metallic | Glacier White Metallic | Navarra Blue Metallic,/data/brand-model-images/4w-galleries/audi/q3-sportback/colors/progressive-red-metallic.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/colors/glacier-white-metallic.avif | /data/brand-model-images/4w-galleries/audi/q3-sportback/colors/navarra-blue-metallic.avif
audi,Q5,audi,q5,https://www.cardekho.com/audi/q5,8,8,0,4,20,/data/brand-model-images/4w-galleries/audi/q5/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/q5/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/q5/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/q5/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/q5/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/q5/exterior/06.avif | /data/brand-model-images/4w-galleries/audi/q5/exterior/07.avif | /data/brand-model-images/4w-galleries/audi/q5/exterior/08.avif,/data/brand-model-images/4w-galleries/audi/q5/interior/01.avif | /data/brand-model-images/4w-galleries/audi/q5/interior/02.avif | /data/brand-model-images/4w-galleries/audi/q5/interior/03.avif | /data/brand-model-images/4w-galleries/audi/q5/interior/04.avif | /data/brand-model-images/4w-galleries/audi/q5/interior/05.avif | /data/brand-model-images/4w-galleries/audi/q5/interior/06.avif | /data/brand-model-images/4w-galleries/audi/q5/interior/07.avif | /data/brand-model-images/4w-galleries/audi/q5/interior/08.avif,,Mythos Black Metallic | Glacier White Metallic | Navarra Blue Metallic | Manhattan Gray,/data/brand-model-images/4w-galleries/audi/q5/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/q5/colors/glacier-white-metallic.avif | /data/brand-model-images/4w-galleries/audi/q5/colors/navarra-blue-metallic.avif | /data/brand-model-images/4w-galleries/audi/q5/colors/manhattan-gray.avif
audi,Q7,audi,q7,https://www.cardekho.com/audi/q7,6,8,0,5,19,/data/brand-model-images/4w-galleries/audi/q7/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/q7/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/q7/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/q7/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/q7/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/q7/exterior/06.avif,/data/brand-model-images/4w-galleries/audi/q7/interior/01.avif | /data/brand-model-images/4w-galleries/audi/q7/interior/02.avif | /data/brand-model-images/4w-galleries/audi/q7/interior/03.avif | /data/brand-model-images/4w-galleries/audi/q7/interior/04.avif | /data/brand-model-images/4w-galleries/audi/q7/interior/05.avif | /data/brand-model-images/4w-galleries/audi/q7/interior/06.avif | /data/brand-model-images/4w-galleries/audi/q7/interior/07.avif | /data/brand-model-images/4w-galleries/audi/q7/interior/08.avif,,Mythos Black Metallic | Samurai-Gray-Metallic | Waitomo Blue Metallic | Sakhir Gold Metallic | Glacier White Metallic,/data/brand-model-images/4w-galleries/audi/q7/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/q7/colors/samurai-gray-metallic.avif | /data/brand-model-images/4w-galleries/audi/q7/colors/waitomo-blue-metallic.avif | /data/brand-model-images/4w-galleries/audi/q7/colors/sakhir-gold-metallic.avif | /data/brand-model-images/4w-galleries/audi/q7/colors/glacier-white-metallic.avif
audi,Q8,audi,q8,https://www.cardekho.com/audi/q8,6,6,0,7,19,/data/brand-model-images/4w-galleries/audi/q8/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/q8/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/q8/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/q8/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/q8/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/q8/exterior/06.avif,/data/brand-model-images/4w-galleries/audi/q8/interior/03.avif | /data/brand-model-images/4w-galleries/audi/q8/interior/04.avif | /data/brand-model-images/4w-galleries/audi/q8/interior/05.avif | /data/brand-model-images/4w-galleries/audi/q8/interior/06.avif | /data/brand-model-images/4w-galleries/audi/q8/interior/07.avif | /data/brand-model-images/4w-galleries/audi/q8/interior/08.avif,,Vicuna Beige Metallic | Mythos Black Metallic | Samurai-Gray-Metallic | Waitomo Blue Metallic | Sakhir Gold Metallic | Glacier White Metallic | Satellite Silver Metallic,/data/brand-model-images/4w-galleries/audi/q8/colors/vicuna-beige-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8/colors/samurai-gray-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8/colors/waitomo-blue-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8/colors/sakhir-gold-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8/colors/glacier-white-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8/colors/satellite-silver-metallic.avif
audi,Q8 e-tron,audi,q8-e-tron,https://www.cardekho.com/audi/q8-e-tron,8,8,0,7,23,/data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/01.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/02.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/03.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/04.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/05.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/06.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/07.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/exterior/08.avif,/data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/01.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/02.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/03.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/04.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/05.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/06.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/07.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/interior/08.avif,,Purple Velvet Pearl Effect | Soneira Red Metallic | Suzuka Grey Metallic | Carat Beige Metallic | Mythos Black Metallic | Camouflage Green | Midnight Blue Pearl Effect,/data/brand-model-images/4w-galleries/audi/q8-e-tron/colors/purple-velvet-pearl-effect.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/colors/soneira-red-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/colors/suzuka-grey-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/colors/carat-beige-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/colors/mythos-black-metallic.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/colors/camouflage-green.avif | /data/brand-model-images/4w-galleries/audi/q8-e-tron/colors/midnight-blue-pearl-effect.avif
