category,brand,model,image_count,status,brand_id,matched_slug,note
2w,Ampere (Greaves Electric),Magnus,5,scraped_exact,ampere-greaves,magnus,
2w,Ampere (Greaves Electric),Magnus Grand,3,scraped_exact,ampere-greaves,magnus-grand,
2w,Ampere (Greaves Electric),Nexus,6,scraped_exact,ampere-greaves,nexus,
2w,Ampere (Greaves Electric),Reo,4,scraped_exact,ampere-greaves,reo,
2w,Aprilia India,RS 457,6,scraped_exact,aprilia-india,rs-457,
2w,Aprilia India,RS 660,3,scraped_exact,aprilia-india,rs-660,
2w,Aprilia India,RSV4 1100 Factory,1,scraped_exact,aprilia-india,rsv4-1100-factory,
2w,Aprilia India,SR 125,7,scraped_exact,aprilia-india,sr-125,
2w,Aprilia India,Storm 125,2,scraped_exact,aprilia-india,storm-125,
2w,Aprilia India,Tuono 457,2,scraped_exact,aprilia-india,tuono-457,
2w,Aprilia India,Tuono 660,2,scraped_exact,aprilia-india,tuono-660,
2w,Ather Energy,450 Apex,1,scraped_exact,ather-energy,450-apex,
2w,Ather Energy,450S,4,scraped_exact,ather-energy,450s,
2w,Ather Energy,450X,8,scraped_exact,ather-energy,450x,
2w,Ather Energy,Rizta,9,scraped_exact,ather-energy,rizta,
2w,Bajaj Auto,Avenger Cruise 220,2,scraped_exact,bajaj-auto,avenger-cruise-220,
2w,Bajaj Auto,CT 110,3,scraped_exact,bajaj-auto,ct-110,
2w,Bajaj Auto,Dominar 250,3,scraped_exact,bajaj-auto,dominar-250,
2w,Bajaj Auto,Dominar 400,2,scraped_exact,bajaj-auto,dominar-400,
2w,Bajaj Auto,Platina 110,4,scraped_exact,bajaj-auto,platina-110,
2w,Bajaj Auto,Pulsar 125,8,scraped_exact,bajaj-auto,pulsar-125,
2w,Bajaj Auto,Pulsar 150,9,scraped_exact,bajaj-auto,pulsar-150,
2w,Bajaj Auto,Pulsar 220F,4,scraped_exact,bajaj-auto,pulsar-220-f,
2w,Bajaj Auto,Pulsar N125,7,scraped_exact,bajaj-auto,pulsar-n125,
2w,Bajaj Auto,Pulsar N160,11,scraped_exact,bajaj-auto,pulsar-n160,
2w,Bajaj Auto,Pulsar N250,3,scraped_exact,bajaj-auto,pulsar-n250,
2w,Bajaj Auto,Pulsar NS125,6,scraped_exact,bajaj-auto,pulsar-ns125,
2w,Bajaj Auto,Pulsar NS160,4,scraped_exact,bajaj-auto,pulsar-ns160,
2w,Bajaj Auto,Pulsar NS200,4,covered_by_alias,bajaj-auto,pulsar-ns,"uses shared source model ""Pulsar NS400Z"""
2w,Bajaj Auto,Pulsar NS400Z,4,scraped_exact,bajaj-auto,pulsar-ns,
2w,Bajaj Chetak,Chetak,14,scraped_exact,bajaj-chetak-ev,chetak,
2w,Bajaj Chetak,Chetak C25,6,scraped_exact,bajaj-chetak-ev,chetak-c25,
2w,BattRE Electric,LOEV,0,unavailable_on_source,battre-electric,,no confirmed BikeWale colour page
2w,BattRE Electric,LOEV+,0,unavailable_on_source,battre-electric,,no confirmed BikeWale colour page
2w,BattRE Electric,ONE,0,unavailable_on_source,battre-electric,,no confirmed BikeWale colour page
2w,BattRE Electric,Storie,0,unavailable_on_source,battre-electric,,no confirmed BikeWale colour page
2w,Benelli India,502C,3,scraped_exact,benelli-india,502c,
2w,Benelli India,Leoncino 500,2,scraped_exact,benelli-india,leoncino-500-bs4,
2w,Benelli India,TRK 502,2,scraped_exact,benelli-india,trk-502,
2w,Benelli India,TRK 502X,3,scraped_exact,benelli-india,trk-502x,
2w,BGauss,C12i EX,7,covered_by_alias,bgauss,c12i,"uses shared source model ""C12i Max"""
2w,BGauss,C12i Max,7,scraped_exact,bgauss,c12i,
2w,BGauss,OoWah,3,scraped_exact,bgauss,oowah,
2w,BGauss,RUV 350,5,scraped_exact,bgauss,ruv-350,
2w,BMW Motorrad India,C 400 GT,1,scraped_exact,bmw-motorrad-india,c-400-gt,
2w,BMW Motorrad India,CE 02,2,scraped_exact,bmw-motorrad-india,ce-02,
2w,BMW Motorrad India,CE 04,1,scraped_exact,bmw-motorrad-india,ce-04,
2w,BMW Motorrad India,F 900 GS,2,scraped_exact,bmw-motorrad-india,f-900-gs,
2w,BMW Motorrad India,F 900 GS Adventure,2,scraped_exact,bmw-motorrad-india,f-900-gs-adventure,
2w,BMW Motorrad India,G 310 RR,5,scraped_exact,bmw-motorrad-india,g310-rr,
