category,brand,model,status,brand_id,matched_slug,image_count,note
2w,Ampere (Greaves Electric),Magnus,scraped_exact,ampere-greaves,magnus,5,
2w,Ampere (Greaves Electric),Magnus Grand,scraped_exact,ampere-greaves,magnus-grand,3,
2w,Ampere (Greaves Electric),Nexus,scraped_exact,ampere-greaves,nexus,6,
2w,Ampere (Greaves Electric),Reo,scraped_exact,ampere-greaves,reo,4,
2w,Aprilia India,RS 457,scraped_exact,aprilia-india,rs-457,6,
2w,Aprilia India,RS 660,scraped_exact,aprilia-india,rs-660,3,
2w,Aprilia India,RSV4 1100 Factory,scraped_exact,aprilia-india,rsv4-1100-factory,1,
2w,Aprilia India,SR 125,scraped_exact,aprilia-india,sr-125,7,
2w,Aprilia India,Storm 125,scraped_exact,aprilia-india,storm-125,2,
2w,Aprilia India,Tuono 457,scraped_exact,aprilia-india,tuono-457,2,
2w,Aprilia India,Tuono 660,scraped_exact,aprilia-india,tuono-660,2,
2w,Ather Energy,450 Apex,scraped_exact,ather-energy,450-apex,1,
2w,Ather Energy,450S,scraped_exact,ather-energy,450s,4,
2w,Ather Energy,450X,scraped_exact,ather-energy,450x,8,
2w,Ather Energy,Rizta,scraped_exact,ather-energy,rizta,9,
2w,Bajaj Auto,Avenger Cruise 220,scraped_exact,bajaj-auto,avenger-cruise-220,2,
2w,Bajaj Auto,CT 110,scraped_exact,bajaj-auto,ct-110,3,
2w,Bajaj Auto,Dominar 250,scraped_exact,bajaj-auto,dominar-250,3,
2w,Bajaj Auto,Dominar 400,scraped_exact,bajaj-auto,dominar-400,2,
2w,Bajaj Auto,Platina 110,scraped_exact,bajaj-auto,platina-110,4,
2w,Bajaj Auto,Pulsar 125,scraped_exact,bajaj-auto,pulsar-125,8,
2w,Bajaj Auto,Pulsar 150,scraped_exact,bajaj-auto,pulsar-150,9,
2w,Bajaj Auto,Pulsar 220F,scraped_exact,bajaj-auto,pulsar-220-f,4,
2w,Bajaj Auto,Pulsar N125,scraped_exact,bajaj-auto,pulsar-n125,7,
2w,Bajaj Auto,Pulsar N160,scraped_exact,bajaj-auto,pulsar-n160,11,
2w,Bajaj Auto,Pulsar N250,scraped_exact,bajaj-auto,pulsar-n250,3,
2w,Bajaj Auto,Pulsar NS125,scraped_exact,bajaj-auto,pulsar-ns125,6,
2w,Bajaj Auto,Pulsar NS160,scraped_exact,bajaj-auto,pulsar-ns160,4,
2w,Bajaj Auto,Pulsar NS200,scraped_exact,bajaj-auto,pulsar-ns,4,
2w,Bajaj Auto,Pulsar NS400Z,scraped_exact,bajaj-auto,pulsar-ns400z,4,
2w,Bajaj Chetak,Chetak,scraped_exact,bajaj-chetak-ev,chetak,14,
2w,Bajaj Chetak,Chetak C25,scraped_exact,bajaj-chetak-ev,chetak-c25,6,
2w,BattRE Electric,LOEV,unavailable_on_source,battre-electric,,0,no confirmed BikeWale colour page
2w,BattRE Electric,LOEV+,unavailable_on_source,battre-electric,,0,no confirmed BikeWale colour page
2w,BattRE Electric,ONE,unavailable_on_source,battre-electric,,0,no confirmed BikeWale colour page
2w,BattRE Electric,Storie,unavailable_on_source,battre-electric,,0,no confirmed BikeWale colour page
2w,Benelli India,502C,scraped_exact,benelli-india,502c,3,
2w,Benelli India,Leoncino 500,scraped_exact,benelli-india,leoncino-500-bs4,2,
2w,Benelli India,TRK 502,scraped_exact,benelli-india,trk-502,2,
2w,Benelli India,TRK 502X,scraped_exact,benelli-india,trk-502x,3,
2w,BGauss,C12i EX,covered_by_alias,bgauss,c12i,7,"uses shared source model ""C12i Max"""
2w,BGauss,C12i Max,scraped_exact,bgauss,c12i,7,
2w,BGauss,OoWah,scraped_exact,bgauss,oowah,3,
2w,BGauss,RUV 350,scraped_exact,bgauss,ruv-350,5,
2w,BMW Motorrad India,C 400 GT,scraped_exact,bmw-motorrad-india,c-400-gt,1,
2w,BMW Motorrad India,CE 02,scraped_exact,bmw-motorrad-india,ce-02,2,
2w,BMW Motorrad India,CE 04,scraped_exact,bmw-motorrad-india,ce-04,1,
2w,BMW Motorrad India,F 900 GS,scraped_exact,bmw-motorrad-india,f-900-gs,2,
2w,BMW Motorrad India,F 900 GS Adventure,scraped_exact,bmw-motorrad-india,f-900-gs-adventure,2,
2w,BMW Motorrad India,G 310 RR,scraped_exact,bmw-motorrad-india,g310-rr,5,
2w,BMW Motorrad India,K 1600,scraped_exact,bmw-motorrad-india,k-1600,4,
2w,BMW Motorrad India,M 1000 R,scraped_exact,bmw-motorrad-india,m-1000-r,3,
2w,BMW Motorrad India,M 1000 XR,scraped_exact,bmw-motorrad-india,m-1000-xr,1,
2w,BMW Motorrad India,R 12,scraped_exact,bmw-motorrad-india,r-12,1,
2w,BMW Motorrad India,R 12 nineT,scraped_exact,bmw-motorrad-india,r-12-nine-t,1,
2w,BMW Motorrad India,R 1300 GS,scraped_exact,bmw-motorrad-india,r-1300-gs,2,
2w,BMW Motorrad India,R18,scraped_exact,bmw-motorrad-india,r18,5,
2w,BMW Motorrad India,S 1000 R,scraped_exact,bmw-motorrad-india,s-1000-r,3,
2w,BMW Motorrad India,S 1000 RR,scraped_exact,bmw-motorrad-india,s-1000-rr,3,
2w,BMW Motorrad India,S 1000 XR,scraped_exact,bmw-motorrad-india,s-1000-xr,3,
2w,Bounce Infinity,E1,scraped_exact,bounce-infinity,infinity-e1,12,
2w,Bounce Infinity,E1X,unavailable_on_source,bounce-infinity,,0,no confirmed BikeWale colour page
2w,Brixton Motorcycles,Cromwell 1200,scraped_exact,brixton-motorcycles,cromwell-1200,3,
2w,Brixton Motorcycles,Cromwell 1200 X,scraped_exact,brixton-motorcycles,cromwell-1200-x,2,
2w,Brixton Motorcycles,Crossfire 500 X,scraped_exact,brixton-motorcycles,crossfire-500-x,3,
2w,Brixton Motorcycles,Crossfire 500 XC,scraped_exact,brixton-motorcycles,crossfire-500-xc,2,
2w,BSA Motorcycles,Gold Star 650,scraped_exact,bsa-motorcycles,gold-star-650,6,
2w,Ducati India,DesertX,scraped_exact,ducati-india,desertx,3,
2w,Ducati India,Diavel V4,scraped_exact,ducati-india,diavel-v4,2,
2w,Ducati India,Hypermotard 950,scraped_exact,ducati-india,hypermotard-950,3,
2w,Ducati India,Monster,scraped_exact,ducati-india,monster,4,
2w,Ducati India,Multistrada V2,scraped_exact,ducati-india,multistrada-v2,3,
2w,Ducati India,Multistrada V4,scraped_exact,ducati-india,multistrada-v4,4,
2w,Ducati India,Panigale V2,scraped_exact,ducati-india,panigale-v2,2,
2w,Ducati India,Panigale V4,scraped_exact,ducati-india,panigale-v4,3,
2w,Ducati India,Scrambler Icon,scraped_exact,ducati-india,scrambler-icon,4,
2w,Ducati India,Scrambler Nightshift,scraped_exact,ducati-india,scrambler-nightshift,1,
2w,Ducati India,Streetfighter V2,scraped_exact,ducati-india,streetfighter-v2,2,
2w,Ducati India,Streetfighter V4,scraped_exact,ducati-india,streetfighter-v4,1,
2w,Ducati India,XDiavel V4,scraped_exact,ducati-india,xdiavel-v4,2,
2w,Evolet,Derby,scraped_exact,evolet,derby,2,
2w,Evolet,Pony,scraped_exact,evolet,pony,1,
2w,Ferrato,Disruptor,scraped_exact,ferrato,disruptor,3,
2w,Gemopai,Astrid Lite,scraped_exact,gemopai,astrid-lite,5,
2w,Gemopai,Ryder,scraped_exact,gemopai,ryder,5,
2w,Gemopai,Ryder SuperMax,scraped_exact,gemopai,ryder-supermax,6,
2w,Harley-Davidson India,Breakout,scraped_exact,harley-davidson-india,breakout,5,
2w,Harley-Davidson India,Fat Boy,scraped_exact,harley-davidson-india,fat-boy,4,
2w,Harley-Davidson India,Heritage Classic,scraped_exact,harley-davidson-india,heritage-classic,5,
2w,Harley-Davidson India,Nightster,scraped_exact,harley-davidson-india,nightster,3,
2w,Harley-Davidson India,Nightster Special,scraped_exact,harley-davidson-india,nightster-special,4,
2w,Harley-Davidson India,Pan America 1250 Special,scraped_exact,harley-davidson-india,pan-america-1250-special,4,
2w,Harley-Davidson India,Road Glide,scraped_exact,harley-davidson-india,road-glide,7,
2w,Harley-Davidson India,Sportster S,scraped_exact,harley-davidson-india,sportster-s,4,
2w,Harley-Davidson India,Street Glide,scraped_exact,harley-davidson-india,street-glide,7,
2w,Harley-Davidson India,X440,scraped_exact,harley-davidson-india,x440,6,
2w,Hero Electric,Atria LX,scraped_exact,hero-electric,atria,2,
2w,Hero Electric,NYX HX,scraped_exact,hero-electric,nyx-hx,2,
2w,Hero Electric,Optima CX,scraped_exact,hero-electric,optima-cx,4,
2w,Hero Electric,Photon HX,scraped_exact,hero-electric,photon,5,
2w,Hero MotoCorp,Destini 125,scraped_exact,hero-motocorp,destini-125,5,
2w,Hero MotoCorp,Destini Prime,scraped_exact,hero-motocorp,destini-prime,4,
2w,Hero MotoCorp,Glamour,scraped_exact,hero-motocorp,glamour,4,
2w,Hero MotoCorp,Glamour X 125,scraped_exact,hero-motocorp,glamour-x-125,5,
2w,Hero MotoCorp,Glamour Xtec,scraped_exact,hero-motocorp,glamour-xtec,4,
2w,Hero MotoCorp,HF Deluxe,scraped_exact,hero-motocorp,hf-deluxe,11,
2w,Hero MotoCorp,Karizma XMR,scraped_exact,hero-motocorp,karizma-xmr,4,
2w,Hero MotoCorp,Mavrick 440,scraped_exact,hero-motocorp,mavrick-440,5,
2w,Hero MotoCorp,Passion Plus,scraped_exact,hero-motocorp,passion-plus,3,
2w,Hero MotoCorp,Pleasure Plus,scraped_exact,hero-motocorp,pleasure-plus,7,
2w,Hero MotoCorp,Pleasure Plus Xtec,scraped_exact,hero-motocorp,pleasure-plus-xtec,4,
2w,Hero MotoCorp,Splendor Plus,scraped_exact,hero-motocorp,splendor-plus,8,
2w,Hero MotoCorp,Splendor Plus Xtec,scraped_exact,hero-motocorp,splendor-plus-xtec,7,
2w,Hero MotoCorp,Super Splendor Xtec,scraped_exact,hero-motocorp,super-splendor-xtec,4,
