"Brand","Model"
"Harley-Davidson India","Nightster"
"Harley-Davidson India","Nightster Special"
"Harley-Davidson India","Sportster S"
"Harley-Davidson India","Fat Boy"
"Harley-Davidson India","Heritage Classic"
"Harley-Davidson India","Breakout"
"Harley-Davidson India","Street Glide"
"Harley-Davidson India","Road Glide"
"Harley-Davidson India","Pan America 1250 Special"
"Harley-Davidson India","X440"
"Moto Guzzi","V85 TT"
"Bajaj Chetak","Chetak"
"Bajaj Chetak","Chetak C25"
"Revolt Motors","RV BlazeX"
"Revolt Motors","RV400"
"Revolt Motors","RV400 BRZ"
"Revolt Motors","RV1"
"Ampere (Greaves Electric)","Nexus"
"Ampere (Greaves Electric)","Magnus"
"Ampere (Greaves Electric)","Magnus Grand"
"Ampere (Greaves Electric)","Reo"
"Komaki","Flora"
"Komaki","DT 3000"
"Komaki","Venice"
"Komaki","SE"
"Komaki","TN 95"
"Komaki","Ranger"
"Komaki","XGT KM"
"Komaki","X One"
"Komaki","XGT CAT 2.0"
"Komaki","XGT X5"
"Odysse Electric","V2"
"Odysse Electric","V2 Plus"
"Odysse Electric","SNAP"
"Joy e-bike","Gen Nxt"
"Joy e-bike","Wolf"
"Joy e-bike","Mihos"
"Joy e-bike","Glob"
"Bounce Infinity","E1"
"Bounce Infinity","E1X"
"BattRE Electric","LOEV"
"BattRE Electric","LOEV+"
"BattRE Electric","Storie"
"BattRE Electric","ONE"
"Pure EV","EPluto 7G"
"Pure EV","Etryst 350"
"Pure EV","EcoDryft"
"Pure EV","ETrance Neo"
"Okaya EV (OPG Mobility)","Faast F2T"
"Okaya EV (OPG Mobility)","Faast F2F"
"Okaya EV (OPG Mobility)","Faast F2B"
"Okaya EV (OPG Mobility)","Faast F3"
"Okaya EV (OPG Mobility)","Faast F4"
"Okaya EV (OPG Mobility)","Freedum"
"Okaya EV (OPG Mobility)","Motofaast"
"Lectrix EV","ZYRO"
"Yulu","Wynn"
"Kabira Mobility","KM3000"
"Kabira Mobility","KM4000"
"Kabira Mobility","KM5000"
"Kabira Mobility","Intercity Neo"
"Kabira Mobility","Intercity FS"
"Kinetic Green","DX"
"Raptee HV","T30"
"Tork Motors","Kratos"
"Tork Motors","Kratos R"
